NU_ANO_CENSO|ID_ALUNO|ID_MATRICULA|NU_DIA|NU_MES|NU_ANO|TP_SEXO|TP_COR_RACA|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|IN_NECESSIDADE_ESPECIAL|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|TP_ETAPA_ENSINO|ID_TURMA|TP_UNIFICADA|CO_ENTIDADE|TP_DEPENDENCIA|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2013|110771139356|43299610|8|2|1994|M|5|31|3162450|31|3162450|2|0| .|. | .|25|2999621|0|31319058|2|2|1
2013|112356326102|43300043|4|1|1993|F|5|31|3132107|31|3162450|2|0| .|. | .|25|2999621|0|31319058|2|2|1
2013|111072851279|43300073|15|12|1995|M|5|31|3162450|31|3162450|2|0| .|. | .|25|2999621|0|31319058|2|2|1
2013|122814148507|43300074|9|8|1998|M|5|31|3139300|31|3162450|2|0| .|. | .|25|2999621|0|31319058|2|2|1
2013|113790466882|43300075|5|3|1998|M|5|31|3139300|31|3162450|2|0| .|. | .|25|2999621|0|31319058|2|2|1
2013|110846644028|43300076|2|9|1993|M|5|31|3162450|31|3162450|2|0| .|. | .|25|2999621|0|31319058|2|2|1
2013|114238401190|43300125|14|10|1997|F|5|31|3139300|31|3162450|2|0| .|. | .|25|2999621|0|31319058|2|2|1
2013|112353907996|43300065|6|5|1997|M|5|31|3170404|31|3162450|2|0| .|. | .|25|2999621|0|31319058|2|2|1
2013|112582690235|43300068|16|11|1997|F|5|31|3139300|31|3162450|2|0| .|. | .|25|2999621|0|31319058|2|2|1
2013|114564792457|43300071|24|1|1997|M|5|31|3162450|31|3162450|2|0| .|. | .|25|2999621|0|31319058|2|2|1
2013|110499643657|43299600|9|9|1997|F|5|31|3132107|31|3162450|2|0| .|. | .|25|2999621|0|31319058|2|2|1
2013|111978969707|43300094|25|7|1997|M|5|31|3139300|31|3162450|2|0| .|. | .|25|2999621|0|31319058|2|2|1
2013|113639451227|43299653|4|5|1998|M|5|31|3162450|31|3162450|2|0| .|. | .|26|2999622|0|31319058|2|2|1
2013|114413826158|43299662|27|10|1996|F|5|31|3132107|31|3162450|2|0| .|. | .|26|2999622|0|31319058|2|2|1
2013|111827900899|43300086|1|1|1994|M|5|31|3139300|31|3162450|2|0| .|. | .|26|2999622|0|31319058|2|2|1
2013|111450503607|43299631|3|5|1997|F|5|31|3162450|31|3162450|2|0| .|. | .|26|2999622|0|31319058|2|2|1
